Time,P_grid,P_sell,P_ch,P_dis,P_demand,E,R_ch,R_dis,SOH,Q_loss,u_grid,u_sell,u_ch,u_dis,N_cycle,P_shift_up_1,P_shift_down_1,u_shift_up_1,u_shift_down_1,P_shift_up_2,P_shift_down_2,u_shift_up_2,u_shift_down_2,P_shift_up_3,P_shift_down_3,u_shift_up_3,u_shift_down_3,P_shift_up_4,P_shift_down_4,u_shift_up_4,u_shift_down_4,P_shift_up_5,P_shift_down_5,u_shift_up_5,u_shift_down_5,P_shift_up_6,P_shift_down_6,u_shift_up_6,u_shift_down_6,P_shift_up_7,P_shift_down_7,u_shift_up_7,u_shift_down_7,P_shift_up_8,P_shift_down_8,u_shift_up_8,u_shift_down_8,P_shift_up_9,P_shift_down_9,u_shift_up_9,u_shift_down_9
1,0.0,1.7,0.0,2.0,0.15,2.0,0.0,0.21052632,,,0.0,1.0,0.0,1.0,1.532944,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.15,,1.0,,0.0,,0.0,,0.0,,0.0,
2,0.3,0.0,0.0,0.0,0.15,2.0,0.0,0.0,,,1.0,0.0,0.0,0.0,1.532944,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.15,,1.0,,0.0,,0.0,,0.0,,0.0,
3,0.3,0.0,0.0,0.0,0.15,2.0,0.0,0.0,,,1.0,0.0,0.0,0.0,1.532944,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.15,,1.0,,0.0,,0.0,,0.0,,0.0,
4,0.3,0.0,0.0,0.0,0.15,2.0,0.0,0.0,,,1.0,0.0,0.0,0.0,1.532944,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.15,,1.0,,0.0,,0.0,,0.0,,0.0,
5,0.3,0.0,0.0,0.0,0.15,2.0,0.0,0.0,,,1.0,0.0,0.0,0.0,1.532944,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.15,,1.0,,0.0,,0.0,,0.0,,0.0,
6,0.3,0.0,0.0,0.0,0.15,2.0,0.0,0.0,,,1.0,0.0,0.0,0.0,1.532944,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.15,,1.0,,0.0,,0.0,,0.0,,0.0,
7,0.3,0.0,0.0,0.0,0.15,2.0,0.0,0.0,,,1.0,0.0,0.0,0.0,1.532944,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.15,,1.0,,0.0,,0.0,,0.0,,0.0,
8,0.3,0.0,0.0,0.0,0.15,2.0,0.0,0.0,,,1.0,0.0,0.0,0.0,1.532944,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.15,,1.0,,0.0,,0.0,,0.0,,0.0,
9,0.3,0.0,0.0,0.0,0.15,2.0,0.0,0.0,,,1.0,0.0,0.0,0.0,1.532944,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.15,,1.0,,0.0,,0.0,,0.0,,0.0,
10,0.3,0.0,0.0,0.0,0.15,2.0,0.0,0.0,,,1.0,0.0,0.0,0.0,1.532944,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.15,,1.0,,0.0,,0.0,,0.0,,0.0,
